Singular,Plural,Cost,Actions,Cards,Action,Treasure,Victory,Attack,Reaction,Duration,Ruins,Looter,Shelter,Knight,VP,Trash,Coins,Buys,CoinTokens,Index,Expansion,Abbreviation
Adventurer,Adventurers,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominion,Adv
Alchemist,Alchemists,P3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alchemy,Alc
Ambassador,Ambassadors,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Seaside,Amb
Apothecary,Apothecaries,P2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Alchemy,Apoth
Apprentice,Apprentices,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,Alchemy,App
Archivist,Archivists,5,1,?,1,0,0,0,0,0,0,0,0,0,0,0,?,0,0,5,Fan,Arc
"Bag of Gold","Bags of Gold",*0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Cornucopia,BoG
Bank,Banks,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,?,0,0,7,Prosperity,Bank
Baron,Barons,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,?,1,0,8,Intrigue,Bron
Bazaar,Bazaars,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,Seaside,Baz
Bishop,Bishops,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,Prosperity,Bish
"Black Market","Black Markets",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,11,Promotional,BMark
"Border Village","Border Villages",6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Hinterlands,Bord
Bridge,Bridges,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,Intrigue,Bri
Bureaucrat,Bureaucrats,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,Dominion,Bur
Cache,Caches,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,15,Hinterlands,Cache
Caravan,Caravans,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,Seaside,Cvan
Cartographer,Cartographers,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Hinterlands,Cart
Cellar,Cellars,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Dominion,Cel
Chancellor,Chancellors,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,Dominion,Chan
Chapel,Chapels,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,Dominion,Chap
City,Cities,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,?,1,0,21,Prosperity,City
Colony,Colonies,11,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,22,Prosperity,Col
Conspirator,Conspirators,4,?,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,Intrigue,Cons
Contraband,Contrabands,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,24,Prosperity,Cband
Copper,Coppers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,25,Common,Cop
Coppersmith,Coppersmiths,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Intrigue,Csmith
"Council Room","Council Rooms",5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,Dominion,CR
"Counting House","Counting Houses",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Prosperity,CH
Courtyard,Courtyards,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Intrigue,Cyard
Crossroads,Crossroads,2,?,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Hinterlands,Croads
Curse,Curses,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,31,Common,Curse
Cutpurse,Cutpurses,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,32,Seaside,Cut
Develop,Develops,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,Hinterlands,Dev
Diadem,Diadems,*0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,34,Cornucopia,Dia
Duchess,Duchesses,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,Hinterlands,Dss
Duchy,Duchies,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,36,Common,Duchy
Duke,Dukes,5,0,0,0,0,1,0,0,0,0,0,0,0,?,0,0,0,0,37,Intrigue,Duke
Embargo,Embargoes,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,38,Seaside,Ebarg
Embassy,Embassies,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Hinterlands,Ebass
